BatchID,ProductID,Product,Category,SupplierRole,SupplierName,PurchaseDate,ExpiryDate,Quantity,Unit,Status,QtySold,QtyWasted,WastedPct,Revenue_CLP,Revenue_USD,GrossProfit_CLP,GrossProfit_USD,Season,SeasonSH,YearMonth
B00001,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-07-09,2023-08-23,16,kg,Partial Loss,11.78,4.22,26.4,47120,50.4,-80,-0.09,Winter,Winter,2023-07
B00002,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-07-20,2023-09-03,13,kg,Partial Loss,11.63,1.36,10.5,46520,49.75,8170,8.74,Winter,Winter,2023-07
B00003,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-07-29,2023-09-12,13,kg,Partial Loss,11.63,1.36,10.5,46520,49.75,8170,8.74,Winter,Winter,2023-07
B00004,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-05,2023-09-19,16,kg,Sold Out,16.0,0.0,0.0,64000,68.45,16800,17.97,Winter,Winter,2023-08
B00005,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-13,2023-09-27,15,kg,Partial Loss,10.52,4.48,29.9,42080,45.01,-2170,-2.32,Winter,Winter,2023-08
B00006,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-21,2023-10-05,16,kg,Partial Loss,13.58,2.42,15.1,54320,58.1,7120,7.61,Winter,Winter,2023-08
B00007,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-08-28,2023-10-12,17,kg,Sold Out,17.0,0.0,0.0,68000,72.73,17850,19.09,Winter,Winter,2023-08
B00008,P001,"Olives 120/140 (extra large), brined",Olives,Backup,Aceitunera Central SpA,2023-09-06,2023-10-21,19,kg,Partial Loss,16.72,2.28,12.0,66880,71.53,9880,10.57,Spring,Spring,2023-09
B00009,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-09-16,2023-10-31,18,kg,Partial Loss,14.89,3.11,17.3,59560,63.7,6460,6.91,Spring,Spring,2023-09
B00010,P001,"Olives 120/140 (extra large), brined",Olives,Primary,El Olivar Olives Ltd.,2023-09-25,2023-11-09,20,kg,Partial Loss,16.44,3.56,17.8,65760,70.33,6760,7.23,Spring,Spring,2023-09
