ProductID,Product,Category,Essential,avg_daily_demand,lead_time_days,EOQ,safety_stock,reorder_point
P001,"Olives 120/140 (extra large), brined",Olives,Yes,3.1,3,92.82,12.84,22.15
P002,"Olives 140/160 (large), brined",Olives,Yes,3.01,2,99.25,10.54,16.55
P003,"Olives 160/180, brined",Olives,Yes,3.1,3,101.76,13.1,22.39
P004,"Olives 180/200, brined",Olives,No,3.21,1,113.22,7.79,11.0
P005,"Olives 200/220, brined",Olives,Yes,2.93,5,106.85,16.68,31.31
P006,"Olives 220/240, brined",Olives,No,3.25,2,110.06,10.83,17.34
P007,"Olives 240/260 (small), brined",Olives,No,2.89,2,113.1,10.26,16.04
P008,Pitted olives,Olives,No,3.13,3,102.25,13.56,22.94
P009,Sliced olives (for salads),Olives,No,3.07,1,108.22,7.46,10.53
P010,Cracked green olives with garlic,Olives,No,3.05,1,109.08,7.91,10.96
P011,"Black olive pate, jar 250g",Olives,No,2.74,1,94.72,1.59,4.33
P012,Cooked mote (hominy wheat),Grains,Yes,5.5,0,197.87,0.0,0.0
P013,Dry mote (raw),Grains,No,5.4,2,205.32,15.32,26.13
P014,Premium pearled mote,Grains,No,5.55,5,198.9,25.45,53.22
P015,Pearl barley,Grains,No,4.84,0,165.3,0.0,0.0
P016,"Mixed pickles, jar 500g",Pickles,No,0.75,0,54.01,0.0,0.0
P017,"Pickled onions, jar 500g",Pickles,No,0.72,1,57.31,0.89,1.61
P018,"Pickled cauliflower, jar 500g",Pickles,No,0.78,2,60.29,1.46,3.02
P019,"Pickled gherkins, jar 500g",Pickles,No,0.71,5,53.35,1.99,5.55
P020,"Pickled jalapeños, jar 500g",Pickles,No,0.75,3,53.96,1.49,3.73
P021,"Ground golden chili (aji de color), bag 100g",Chili,Yes,1.56,1,93.88,1.91,3.47
P022,"Bottled chili sauce, bottle 200ml",Chili,Yes,0.68,3,64.01,1.65,3.68
P023,"Chili paste, bag 250g",Chili,No,1.49,0,93.46,0.0,0.0
P024,"Chili paste, bottle 200ml",Chili,No,0.72,0,65.87,0.0,0.0
P025,"Sliced green chili, bag 200g",Chili,No,1.55,2,107.6,11.13,14.24
P026,"Dried cacho de cabra chili, bag 50g",Chili,No,1.81,2,116.17,11.28,14.91
P027,"Ground panca chili, bag 100g",Chili,No,1.6,3,95.07,13.55,18.35
P028,"Merken (smoked chili), bag 100g",Chili,No,1.63,3,99.41,14.18,19.07
P029,"Whole dried red chili, bag 100g",Chili,No,1.74,1,101.01,7.86,9.6
