YearMonth,Revenue_CLP,GrossProfit_CLP,QtyPurchased,QtyWasted,Revenue_USD,WastePct
2023-07,18676810,4752410,4241,159.29,19975.197860962566,3.7559537844847912
2023-08,18676050,4706800,4118,133.61,19974.385026737968,3.244536182612919
2023-09,21379395,5502045,4701,121.83,22865.663101604277,2.591576260370134
2023-10,15069635,3769485,4472,126.37,16117.256684491978,2.825805008944544
2023-11,14169465,3594915,4494,145.7,15154.508021390375,3.2421005785491763
2023-12,17740410,4561960,5050,87.31,18973.70053475936,1.728910891089109
2024-01,14534750,3511350,4485,192.28,15545.187165775402,4.287179487179487
2024-02,13477965,3067315,4202,291.88,14414.935828877005,6.946216087577343
2024-03,14269530,3608330,4436,120.2,15261.529411764706,2.709648331830478
2024-04,18247800,4539450,3927,125.69,19516.363636363636,3.200662083015024
2024-05,19741770,4921670,4443,162.51,21114.192513368984,3.657663740715732
2024-06,18800345,4574545,3841,152.93,20107.320855614973,3.9815152304087476
2024-07,18195375,4490525,4107,146.82,19460.29411764706,3.5748721694667642
2024-08,18119340,4448490,3776,171.07,19378.973262032086,4.530455508474576
2024-09,21912480,5495780,5053,151.78,23435.807486631016,3.00376014248961
2024-10,14882985,3885635,4420,93.78,15917.63101604278,2.1217194570135747
2024-11,14445110,3710460,4378,113.99,15449.315508021391,2.603700319780722
2024-12,19026275,4824925,5568,176.03,20348.957219251337,3.1614583333333335
2025-01,15159010,3719410,4628,168.89,16212.844919786095,3.649308556611927
2025-02,14368450,3524250,4394,170.63,15367.326203208557,3.883249886208466
2025-03,15495240,3803740,4638,159.09,16572.449197860962,3.4301423027166886
2025-04,18122055,4596705,4286,137.72,19381.877005347593,3.2132524498366775
2025-05,19413955,4911955,4214,153.96,20763.58823529412,3.6535358329378265
2025-06,19002745,4848045,3994,123.23,20323.791443850267,3.085378067100651
