BatchID,ProductID,Product,Category,SupplierRole,SupplierID,SupplierName,PurchaseDate,Quantity,Unit,UnitCost_CLP,UnitCost_USD,BatchCost_CLP,BatchCost_USD,ExpiryDate,ExpiryType,Season
B00001,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-07-09,16,kg,2950,3.16,47200,50.48,2023-08-23,Estimated,Winter
B00002,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-07-20,13,kg,2950,3.16,38350,41.02,2023-09-03,Estimated,Winter
B00003,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-07-29,13,kg,2950,3.16,38350,41.02,2023-09-12,Estimated,Winter
B00004,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-05,16,kg,2950,3.16,47200,50.48,2023-09-19,Estimated,Winter
B00005,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-13,15,kg,2950,3.16,44250,47.33,2023-09-27,Estimated,Winter
B00006,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-21,16,kg,2950,3.16,47200,50.48,2023-10-05,Estimated,Winter
B00007,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-08-28,17,kg,2950,3.16,50150,53.64,2023-10-12,Estimated,Winter
B00008,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,2023-09-06,19,kg,3000,3.21,57000,60.96,2023-10-21,Estimated,Spring
B00009,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-09-16,18,kg,2950,3.16,53100,56.79,2023-10-31,Estimated,Spring
B00010,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-09-25,20,kg,2950,3.16,59000,63.1,2023-11-09,Estimated,Spring
B00011,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-04,35,kg,2950,3.16,103250,110.43,2023-11-18,Estimated,Spring
B00012,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2023-10-12,34,kg,2950,3.16,100300,107.27,2023-11-26,Estimated,Spring
