SupplyID,ProductID,Product,Category,Essential,SupplierRole,SupplierID,SupplierName,PurchasePrice_CLP,PurchasePrice_USD,PriceType,PurchaseUnit,LeadTime_Days,HasDelivery,SalePrice_CLP,SalePrice_USD,Margin_CLP_thisLink,Margin_Pct_thisLink
SUP0001,P001,"Olives 120/140 (extra large), brined",Olives,Yes,Primary,S001,El Olivar Olives Ltd.,2950,3.16,By Weight (kg),kg,3,Yes,4000,4.28,1050,0.2625
SUP0002,P001,"Olives 120/140 (extra large), brined",Olives,Yes,Backup,S002,Aceitunera Central SpA,3000,3.21,By Weight (kg),kg,10,No,4000,4.28,1000,0.25
SUP0003,P002,"Olives 140/160 (large), brined",Olives,Yes,Primary,S001,El Olivar Olives Ltd.,2500,2.67,By Weight (kg),kg,2,Yes,3500,3.74,1000,0.2857142857142857
SUP0004,P002,"Olives 140/160 (large), brined",Olives,Yes,Backup,S002,Aceitunera Central SpA,2700,2.89,By Weight (kg),kg,5,No,3500,3.74,800,0.22857142857142856
SUP0005,P003,"Olives 160/180, brined",Olives,Yes,Primary,S001,El Olivar Olives Ltd.,2450,2.62,By Weight (kg),kg,3,Yes,3500,3.74,1050,0.3
SUP0006,P003,"Olives 160/180, brined",Olives,Yes,Backup,S002,Aceitunera Central SpA,2600,2.78,By Weight (kg),kg,3,No,3500,3.74,900,0.2571428571428571
SUP0007,P004,"Olives 180/200, brined",Olives,No,Primary,S001,El Olivar Olives Ltd.,2050,2.19,By Weight (kg),kg,1,Yes,3000,3.21,950,0.31666666666666665
SUP0008,P004,"Olives 180/200, brined",Olives,No,Backup,S002,Aceitunera Central SpA,2300,2.46,By Weight (kg),kg,2,No,3000,3.21,700,0.23333333333333334
SUP0009,P005,"Olives 200/220, brined",Olives,Yes,Primary,S001,El Olivar Olives Ltd.,2100,2.25,By Weight (kg),kg,5,Yes,3000,3.21,900,0.3
SUP0010,P005,"Olives 200/220, brined",Olives,Yes,Backup,S002,Aceitunera Central SpA,2300,2.46,By Weight (kg),kg,10,No,3000,3.21,700,0.23333333333333334
SUP0011,P006,"Olives 220/240, brined",Olives,No,Primary,S001,El Olivar Olives Ltd.,2200,2.35,By Weight (kg),kg,2,Yes,3000,3.21,800,0.26666666666666666
SUP0012,P006,"Olives 220/240, brined",Olives,No,Backup,S002,Aceitunera Central SpA,2200,2.35,By Weight (kg),kg,5,No,3000,3.21,800,0.26666666666666666
SUP0013,P007,"Olives 240/260 (small), brined",Olives,No,Primary,S001,El Olivar Olives Ltd.,1850,1.98,By Weight (kg),kg,2,Yes,2500,2.67,650,0.26
SUP0014,P007,"Olives 240/260 (small), brined",Olives,No,Backup,S002,Aceitunera Central SpA,1900,2.03,By Weight (kg),kg,3,No,2500,2.67,600,0.24
SUP0015,P008,Pitted olives,Olives,No,Primary,S001,El Olivar Olives Ltd.,2450,2.62,By Weight (kg),kg,3,Yes,3500,3.74,1050,0.3
SUP0016,P008,Pitted olives,Olives,No,Backup,S002,Aceitunera Central SpA,2650,2.83,By Weight (kg),kg,3,No,3500,3.74,850,0.24285714285714285
SUP0017,P009,Sliced olives (for salads),Olives,No,Primary,S001,El Olivar Olives Ltd.,2150,2.3,By Weight (kg),kg,1,Yes,3000,3.21,850,0.2833333333333333
SUP0018,P009,Sliced olives (for salads),Olives,No,Backup,S002,Aceitunera Central SpA,2200,2.35,By Weight (kg),kg,5,No,3000,3.21,800,0.26666666666666666
SUP0019,P010,Cracked green olives with garlic,Olives,No,Primary,S001,El Olivar Olives Ltd.,2100,2.25,By Weight (kg),kg,1,Yes,3000,3.21,900,0.3
SUP0020,P010,Cracked green olives with garlic,Olives,No,Backup,S002,Aceitunera Central SpA,2150,2.3,By Weight (kg),kg,5,No,3000,3.21,850,0.2833333333333333
SUP0021,P011,"Black olive pate, jar 250g",Olives,No,Primary,S001,El Olivar Olives Ltd.,2500,2.67,By Unit/Package,jar 250g,1,Yes,3500,3.74,1000,0.2857142857142857
SUP0022,P011,"Black olive pate, jar 250g",Olives,No,Backup,S002,Aceitunera Central SpA,2550,2.73,By Unit/Package,jar 250g,3,No,3500,3.74,950,0.2714285714285714
SUP0023,P012,Cooked mote (hominy wheat),Grains,Yes,Primary,S003,San Vicente Grains & Legumes,1150,1.23,By Weight (kg),kg,0,No,1500,1.6,350,0.23333333333333334
SUP0024,P012,Cooked mote (hominy wheat),Grains,Yes,Backup,S004,Molino del Valle,1150,1.23,By Weight (kg),kg,5,Yes,1500,1.6,350,0.23333333333333334
SUP0025,P013,Dry mote (raw),Grains,No,Primary,S003,San Vicente Grains & Legumes,1050,1.12,By Weight (kg),kg,2,No,1500,1.6,450,0.3
SUP0026,P013,Dry mote (raw),Grains,No,Backup,S004,Molino del Valle,1200,1.28,By Weight (kg),kg,5,Yes,1500,1.6,300,0.2
SUP0027,P014,Premium pearled mote,Grains,No,Primary,S003,San Vicente Grains & Legumes,1150,1.23,By Weight (kg),kg,5,No,1500,1.6,350,0.23333333333333334
SUP0028,P014,Premium pearled mote,Grains,No,Backup,S004,Molino del Valle,1100,1.18,By Weight (kg),kg,5,Yes,1500,1.6,400,0.26666666666666666
SUP0029,P015,Pearl barley,Grains,No,Primary,S003,San Vicente Grains & Legumes,1450,1.55,By Weight (kg),kg,0,No,2000,2.14,550,0.275
SUP0030,P015,Pearl barley,Grains,No,Backup,S004,Molino del Valle,1550,1.66,By Weight (kg),kg,5,Yes,2000,2.14,450,0.225
SUP0031,P016,"Mixed pickles, jar 500g",Pickles,No,Primary,S005,Doña Rosa Pickles,2100,2.25,By Unit/Package,jar 500g,0,Yes,3000,3.21,900,0.3
SUP0032,P016,"Mixed pickles, jar 500g",Pickles,No,Backup,S006,Conservas El Huerto,2200,2.35,By Unit/Package,jar 500g,3,No,3000,3.21,800,0.26666666666666666
SUP0033,P017,"Pickled onions, jar 500g",Pickles,No,Primary,S005,Doña Rosa Pickles,1800,1.93,By Unit/Package,jar 500g,1,Yes,2500,2.67,700,0.28
SUP0034,P017,"Pickled onions, jar 500g",Pickles,No,Backup,S006,Conservas El Huerto,1850,1.98,By Unit/Package,jar 500g,7,No,2500,2.67,650,0.26
SUP0035,P018,"Pickled cauliflower, jar 500g",Pickles,No,Primary,S005,Doña Rosa Pickles,1750,1.87,By Unit/Package,jar 500g,2,Yes,2500,2.67,750,0.3
SUP0036,P018,"Pickled cauliflower, jar 500g",Pickles,No,Backup,S006,Conservas El Huerto,1800,1.93,By Unit/Package,jar 500g,5,No,2500,2.67,700,0.28
SUP0037,P019,"Pickled gherkins, jar 500g",Pickles,No,Primary,S005,Doña Rosa Pickles,2050,2.19,By Unit/Package,jar 500g,5,Yes,3000,3.21,950,0.31666666666666665
SUP0038,P019,"Pickled gherkins, jar 500g",Pickles,No,Backup,S006,Conservas El Huerto,2300,2.46,By Unit/Package,jar 500g,3,No,3000,3.21,700,0.23333333333333334
SUP0039,P020,"Pickled jalapeños, jar 500g",Pickles,No,Primary,S005,Doña Rosa Pickles,2100,2.25,By Unit/Package,jar 500g,3,Yes,3000,3.21,900,0.3
SUP0040,P020,"Pickled jalapeños, jar 500g",Pickles,No,Backup,S006,Conservas El Huerto,2150,2.3,By Unit/Package,jar 500g,5,No,3000,3.21,850,0.2833333333333333
SUP0041,P021,"Ground golden chili (aji de color), bag 100g",Chili,Yes,Primary,S007,Curico Chili & Sauces,1450,1.55,By Unit/Package,bag 100g,1,No,2000,2.14,550,0.275
SUP0042,P021,"Ground golden chili (aji de color), bag 100g",Chili,Yes,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bag 100g,5,Yes,2000,2.14,600,0.3
SUP0043,P022,"Bottled chili sauce, bottle 200ml",Chili,Yes,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bottle 200ml,3,No,2000,2.14,650,0.325
SUP0044,P022,"Bottled chili sauce, bottle 200ml",Chili,Yes,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bottle 200ml,3,Yes,2000,2.14,600,0.3
SUP0045,P023,"Chili paste, bag 250g",Chili,No,Primary,S007,Curico Chili & Sauces,1400,1.5,By Unit/Package,bag 250g,0,No,2000,2.14,600,0.3
SUP0046,P023,"Chili paste, bag 250g",Chili,No,Backup,S008,Merken del Sur,1450,1.55,By Unit/Package,bag 250g,7,Yes,2000,2.14,550,0.275
SUP0047,P024,"Chili paste, bottle 200ml",Chili,No,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bottle 200ml,0,No,2000,2.14,650,0.325
SUP0048,P024,"Chili paste, bottle 200ml",Chili,No,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bottle 200ml,2,Yes,2000,2.14,500,0.25
SUP0049,P025,"Sliced green chili, bag 200g",Chili,No,Primary,S007,Curico Chili & Sauces,1100,1.18,By Unit/Package,bag 200g,2,No,1500,1.6,400,0.26666666666666666
