BatchID,ProductID,Category,Status,QtyPurchased,QtySold,QtyWasted,WastedPct,CloseDate,Revenue_CLP,Revenue_USD,BatchCost_CLP,GrossProfit_CLP,GrossProfit_USD,ProductID_purchase,UnitCost_CLP,Quantity,PurchaseDate,Unit,WasteCost_CLP,ClosureScope,PurchaseCohort
B00001,P001,Olives,Partial Loss,16,11.78,4.22,26.4,2023-08-23,47120,50.4,47200,-80,-0.09,P001,2950,16,2023-07-09,kg,12449.0,Closed by cutoff,2023-07
B00002,P001,Olives,Partial Loss,13,11.63,1.36,10.5,2023-09-03,46520,49.75,38350,8170,8.74,P001,2950,13,2023-07-20,kg,4012.0000000000005,Closed by cutoff,2023-07
B00003,P001,Olives,Partial Loss,13,11.63,1.36,10.5,2023-09-12,46520,49.75,38350,8170,8.74,P001,2950,13,2023-07-29,kg,4012.0000000000005,Closed by cutoff,2023-07
B00004,P001,Olives,Sold Out,16,16.0,0.0,0.0,2023-08-14,64000,68.45,47200,16800,17.97,P001,2950,16,2023-08-05,kg,0.0,Closed by cutoff,2023-08
B00005,P001,Olives,Partial Loss,15,10.52,4.48,29.9,2023-09-27,42080,45.01,44250,-2170,-2.32,P001,2950,15,2023-08-13,kg,13216.000000000002,Closed by cutoff,2023-08
B00006,P001,Olives,Partial Loss,16,13.58,2.42,15.1,2023-10-05,54320,58.1,47200,7120,7.61,P001,2950,16,2023-08-21,kg,7139.0,Closed by cutoff,2023-08
B00007,P001,Olives,Sold Out,17,17.0,0.0,0.0,2023-09-02,68000,72.73,50150,17850,19.09,P001,2950,17,2023-08-28,kg,0.0,Closed by cutoff,2023-08
B00008,P001,Olives,Partial Loss,19,16.72,2.28,12.0,2023-10-21,66880,71.53,57000,9880,10.57,P001,3000,19,2023-09-06,kg,6839.999999999999,Closed by cutoff,2023-09
B00009,P001,Olives,Partial Loss,18,14.89,3.11,17.3,2023-10-31,59560,63.7,53100,6460,6.91,P001,2950,18,2023-09-16,kg,9174.5,Closed by cutoff,2023-09
B00010,P001,Olives,Partial Loss,20,16.44,3.56,17.8,2023-11-09,65760,70.33,59000,6760,7.23,P001,2950,20,2023-09-25,kg,10502.0,Closed by cutoff,2023-09
B00011,P001,Olives,Sold Out,35,35.0,0.0,0.0,2023-10-11,140000,149.73,103250,36750,39.3,P001,2950,35,2023-10-04,kg,0.0,Closed by cutoff,2023-10
B00012,P001,Olives,Sold Out,34,34.0,0.0,0.0,2023-10-23,136000,145.45,100300,35700,38.18,P001,2950,34,2023-10-12,kg,0.0,Closed by cutoff,2023-10
B00013,P001,Olives,Sold Out,34,34.0,0.0,0.0,2023-10-26,136000,145.45,100300,35700,38.18,P001,2950,34,2023-10-20,kg,0.0,Closed by cutoff,2023-10
B00014,P001,Olives,Partial Loss,34,29.89,4.11,12.1,2023-12-14,119560,127.87,100300,19260,20.6,P001,2950,34,2023-10-30,kg,12124.500000000002,Closed by cutoff,2023-10
B00015,P001,Olives,Sold Out,39,39.0,0.0,0.0,2023-11-18,156000,166.84,115050,40950,43.8,P001,2950,39,2023-11-09,kg,0.0,Closed by cutoff,2023-11
B00016,P001,Olives,Partial Loss,35,30.84,4.17,11.9,2024-01-02,123360,131.94,103250,20110,21.51,P001,2950,35,2023-11-18,kg,12301.5,Closed by cutoff,2023-11
B00017,P001,Olives,Sold Out,37,37.0,0.0,0.0,2023-12-03,148000,158.29,109150,38850,41.55,P001,2950,37,2023-11-27,kg,0.0,Closed by cutoff,2023-11
