Category,revenue_clp,gross_profit_clp,purchase_cost_clp,waste_cost_clp,gross_margin,waste_cost_rate
Olives,74726140,18225540,56500600,2984432.0,0.24389778463065268,0.052821244376165914
Nuts,127910830,29441230,98469600,1919797.5,0.2301699551163885,0.019496347095956518
Grains,22779295,4147745,18631550,1710314.5,0.18208399338083114,0.09179668358241799
Peanuts,54233565,14218215,40015350,1146028.0,0.262166335552531,0.028639709511474973
Trail Mix,16325210,3873910,12451300,380931.0,0.23729618179490494,0.03059367294981247
Dried Fruit,29169700,7652400,21517300,315861.5,0.2623407165654772,0.014679420745167841
Candy,15758630,4730730,11027900,163391.5,0.3001993193570761,0.014816193472918689
Chili,17309965,4967165,12342800,88374.5,0.28695407529709044,0.007160004212982468
Seeds,5091555,1345355,3746200,77441.5,0.264232636198568,0.020672014307831936
Pickles,7479415,2153765,5325650,62423.5,0.2879590181852458,0.011721292236628393
Raisins,8632580,2243480,6389100,56679.5,0.2598852255061639,0.008871280775070042
Honey,8856595,2529745,6326850,55284.5,0.2856340388151428,0.008738076610003398
Seasonings,10703465,3249865,7453600,31208.5,0.3036273767420177,0.004187037136417301
Packaging,13950000,4591050,9358950,0.0,0.3291075268817204,0.0
