ProductID,Product,Category,SaleUnit,PriceType,Essential,PeakSeason,SalePrice_CLP,SalePrice_USD,CurrentStock
P001,"Olives 120/140 (extra large), brined",Olives,kg,By Weight (kg),Yes,Spring-Summer,4000,4.28,High
P002,"Olives 140/160 (large), brined",Olives,kg,By Weight (kg),Yes,Spring-Summer,3500,3.74,Low
P003,"Olives 160/180, brined",Olives,kg,By Weight (kg),Yes,Spring-Summer,3500,3.74,Medium
P004,"Olives 180/200, brined",Olives,kg,By Weight (kg),No,Spring-Summer,3000,3.21,Medium
P005,"Olives 200/220, brined",Olives,kg,By Weight (kg),Yes,Spring-Summer,3000,3.21,High
P006,"Olives 220/240, brined",Olives,kg,By Weight (kg),No,Spring-Summer,3000,3.21,High
P007,"Olives 240/260 (small), brined",Olives,kg,By Weight (kg),No,Spring-Summer,2500,2.67,High
P008,Pitted olives,Olives,kg,By Weight (kg),No,Spring-Summer,3500,3.74,Low
P009,Sliced olives (for salads),Olives,kg,By Weight (kg),No,Spring-Summer,3000,3.21,Medium
P010,Cracked green olives with garlic,Olives,kg,By Weight (kg),No,Spring-Summer,3000,3.21,Medium
P011,"Black olive pate, jar 250g",Olives,jar 250g,By Unit/Package,No,All year,3500,3.74,High
P012,Cooked mote (hominy wheat),Grains,kg,By Weight (kg),Yes,Spring-Summer,1500,1.6,Low
P013,Dry mote (raw),Grains,kg,By Weight (kg),No,Spring-Summer,1500,1.6,Low
P014,Premium pearled mote,Grains,kg,By Weight (kg),No,Spring-Summer,1500,1.6,High
P015,Pearl barley,Grains,kg,By Weight (kg),No,All year,2000,2.14,High
P016,"Mixed pickles, jar 500g",Pickles,jar 500g,By Unit/Package,No,All year,3000,3.21,High
P017,"Pickled onions, jar 500g",Pickles,jar 500g,By Unit/Package,No,All year,2500,2.67,High
P018,"Pickled cauliflower, jar 500g",Pickles,jar 500g,By Unit/Package,No,All year,2500,2.67,Medium
P019,"Pickled gherkins, jar 500g",Pickles,jar 500g,By Unit/Package,No,All year,3000,3.21,High
P020,"Pickled jalapeños, jar 500g",Pickles,jar 500g,By Unit/Package,No,All year,3000,3.21,High
P021,"Ground golden chili (aji de color), bag 100g",Chili,bag 100g,By Unit/Package,Yes,All year,2000,2.14,Medium
P022,"Bottled chili sauce, bottle 200ml",Chili,bottle 200ml,By Unit/Package,Yes,All year,2000,2.14,High
P023,"Chili paste, bag 250g",Chili,bag 250g,By Unit/Package,No,All year,2000,2.14,High
P024,"Chili paste, bottle 200ml",Chili,bottle 200ml,By Unit/Package,No,All year,2000,2.14,High
P025,"Sliced green chili, bag 200g",Chili,bag 200g,By Unit/Package,No,Fall-Winter,1500,1.6,Medium
P026,"Dried cacho de cabra chili, bag 50g",Chili,bag 50g,By Unit/Package,No,Fall-Winter,1500,1.6,Medium
P027,"Ground panca chili, bag 100g",Chili,bag 100g,By Unit/Package,No,Fall-Winter,2000,2.14,High
P028,"Merken (smoked chili), bag 100g",Chili,bag 100g,By Unit/Package,No,Fall-Winter,2000,2.14,Medium
P029,"Whole dried red chili, bag 100g",Chili,bag 100g,By Unit/Package,No,Fall-Winter,2000,2.14,Medium
P030,"All-purpose seasoning, bag 100g",Seasonings,bag 100g,By Unit/Package,Yes,All year,1500,1.6,High
P031,"Ground cumin, bag 100g",Seasonings,bag 100g,By Unit/Package,Yes,All year,1500,1.6,Medium
P032,"Oregano, bag 50g",Seasonings,bag 50g,By Unit/Package,No,All year,1000,1.07,High
P033,"Ground pepper, bag 100g",Seasonings,bag 100g,By Unit/Package,No,All year,2000,2.14,High
P034,"Bay leaves, bag 50g",Seasonings,bag 50g,By Unit/Package,No,All year,1000,1.07,Low
P035,"Paprika, bag 100g",Seasonings,bag 100g,By Unit/Package,No,All year,1500,1.6,Low
P036,"Garlic powder, bag 100g",Seasonings,bag 100g,By Unit/Package,No,All year,1500,1.6,Low
P037,"Curry powder, bag 100g",Seasonings,bag 100g,By Unit/Package,No,All year,1500,1.6,High
P038,"Ground cinnamon, bag 100g",Seasonings,bag 100g,By Unit/Package,No,Fall-Winter,1500,1.6,High
P039,"Ground turmeric, bag 100g",Seasonings,bag 100g,By Unit/Package,No,All year,1500,1.6,Medium
P040,"Herbs de Provence mix, bag 50g",Seasonings,bag 50g,By Unit/Package,No,All year,2000,2.14,High
P041,"Multiflora honey, bottle 500g",Honey,bottle 500g,By Unit/Package,Yes,All year,4500,4.81,High
P042,"Ulmo honey, bottle 500g",Honey,bottle 500g,By Unit/Package,No,All year,5500,5.88,Medium
P043,"Quillay honey, bottle 500g",Honey,bottle 500g,By Unit/Package,No,All year,5000,5.35,High
P044,"Organic wildflower honey, bottle 500g",Honey,bottle 500g,By Unit/Package,No,All year,6000,6.42,Low
P045,"Honeycomb, box 400g",Honey,box 400g,By Unit/Package,No,All year,6500,6.95,High
P046,Roasted salted peanuts,Peanuts,kg,By Weight (kg),Yes,All year,6500,6.95,Medium
P047,Roasted unsalted peanuts,Peanuts,kg,By Weight (kg),No,All year,6500,6.95,High
P048,Fried peanuts with salt,Peanuts,kg,By Weight (kg),No,All year,7000,7.49,Medium
P049,Japanese peanuts,Peanuts,kg,By Weight (kg),No,All year,10000,10.7,Medium
P050,Candied peanuts (natural),Peanuts,kg,By Weight (kg),No,All year,9000,9.63,High
