SupplyID,ProductID,Product,Category,SupplierRole,SupplierID,SupplierName,PurchasePrice_CLP,PurchasePrice_USD,PriceType,PurchaseUnit,LeadTime_Days,HasDelivery
SUP0001,P001,"Olives 120/140 (extra large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2950,3.16,By Weight (kg),kg,3,Yes
SUP0002,P001,"Olives 120/140 (extra large), brined",Olives,Backup,S002,Aceitunera Central SpA,3000,3.21,By Weight (kg),kg,10,No
SUP0003,P002,"Olives 140/160 (large), brined",Olives,Primary,S001,El Olivar Olives Ltd.,2500,2.67,By Weight (kg),kg,2,Yes
SUP0004,P002,"Olives 140/160 (large), brined",Olives,Backup,S002,Aceitunera Central SpA,2700,2.89,By Weight (kg),kg,5,No
SUP0005,P003,"Olives 160/180, brined",Olives,Primary,S001,El Olivar Olives Ltd.,2450,2.62,By Weight (kg),kg,3,Yes
SUP0006,P003,"Olives 160/180, brined",Olives,Backup,S002,Aceitunera Central SpA,2600,2.78,By Weight (kg),kg,3,No
SUP0007,P004,"Olives 180/200, brined",Olives,Primary,S001,El Olivar Olives Ltd.,2050,2.19,By Weight (kg),kg,1,Yes
SUP0008,P004,"Olives 180/200, brined",Olives,Backup,S002,Aceitunera Central SpA,2300,2.46,By Weight (kg),kg,2,No
SUP0009,P005,"Olives 200/220, brined",Olives,Primary,S001,El Olivar Olives Ltd.,2100,2.25,By Weight (kg),kg,5,Yes
SUP0010,P005,"Olives 200/220, brined",Olives,Backup,S002,Aceitunera Central SpA,2300,2.46,By Weight (kg),kg,10,No
SUP0011,P006,"Olives 220/240, brined",Olives,Primary,S001,El Olivar Olives Ltd.,2200,2.35,By Weight (kg),kg,2,Yes
SUP0012,P006,"Olives 220/240, brined",Olives,Backup,S002,Aceitunera Central SpA,2200,2.35,By Weight (kg),kg,5,No
SUP0013,P007,"Olives 240/260 (small), brined",Olives,Primary,S001,El Olivar Olives Ltd.,1850,1.98,By Weight (kg),kg,2,Yes
SUP0014,P007,"Olives 240/260 (small), brined",Olives,Backup,S002,Aceitunera Central SpA,1900,2.03,By Weight (kg),kg,3,No
SUP0015,P008,Pitted olives,Olives,Primary,S001,El Olivar Olives Ltd.,2450,2.62,By Weight (kg),kg,3,Yes
SUP0016,P008,Pitted olives,Olives,Backup,S002,Aceitunera Central SpA,2650,2.83,By Weight (kg),kg,3,No
SUP0017,P009,Sliced olives (for salads),Olives,Primary,S001,El Olivar Olives Ltd.,2150,2.3,By Weight (kg),kg,1,Yes
SUP0018,P009,Sliced olives (for salads),Olives,Backup,S002,Aceitunera Central SpA,2200,2.35,By Weight (kg),kg,5,No
SUP0019,P010,Cracked green olives with garlic,Olives,Primary,S001,El Olivar Olives Ltd.,2100,2.25,By Weight (kg),kg,1,Yes
SUP0020,P010,Cracked green olives with garlic,Olives,Backup,S002,Aceitunera Central SpA,2150,2.3,By Weight (kg),kg,5,No
SUP0021,P011,"Black olive pate, jar 250g",Olives,Primary,S001,El Olivar Olives Ltd.,2500,2.67,By Unit/Package,jar 250g,1,Yes
SUP0022,P011,"Black olive pate, jar 250g",Olives,Backup,S002,Aceitunera Central SpA,2550,2.73,By Unit/Package,jar 250g,3,No
SUP0023,P012,Cooked mote (hominy wheat),Grains,Primary,S003,San Vicente Grains & Legumes,1150,1.23,By Weight (kg),kg,0,No
SUP0024,P012,Cooked mote (hominy wheat),Grains,Backup,S004,Molino del Valle,1150,1.23,By Weight (kg),kg,5,Yes
SUP0025,P013,Dry mote (raw),Grains,Primary,S003,San Vicente Grains & Legumes,1050,1.12,By Weight (kg),kg,2,No
SUP0026,P013,Dry mote (raw),Grains,Backup,S004,Molino del Valle,1200,1.28,By Weight (kg),kg,5,Yes
SUP0027,P014,Premium pearled mote,Grains,Primary,S003,San Vicente Grains & Legumes,1150,1.23,By Weight (kg),kg,5,No
SUP0028,P014,Premium pearled mote,Grains,Backup,S004,Molino del Valle,1100,1.18,By Weight (kg),kg,5,Yes
SUP0029,P015,Pearl barley,Grains,Primary,S003,San Vicente Grains & Legumes,1450,1.55,By Weight (kg),kg,0,No
SUP0030,P015,Pearl barley,Grains,Backup,S004,Molino del Valle,1550,1.66,By Weight (kg),kg,5,Yes
SUP0031,P016,"Mixed pickles, jar 500g",Pickles,Primary,S005,Doña Rosa Pickles,2100,2.25,By Unit/Package,jar 500g,0,Yes
SUP0032,P016,"Mixed pickles, jar 500g",Pickles,Backup,S006,Conservas El Huerto,2200,2.35,By Unit/Package,jar 500g,3,No
SUP0033,P017,"Pickled onions, jar 500g",Pickles,Primary,S005,Doña Rosa Pickles,1800,1.93,By Unit/Package,jar 500g,1,Yes
SUP0034,P017,"Pickled onions, jar 500g",Pickles,Backup,S006,Conservas El Huerto,1850,1.98,By Unit/Package,jar 500g,7,No
SUP0035,P018,"Pickled cauliflower, jar 500g",Pickles,Primary,S005,Doña Rosa Pickles,1750,1.87,By Unit/Package,jar 500g,2,Yes
SUP0036,P018,"Pickled cauliflower, jar 500g",Pickles,Backup,S006,Conservas El Huerto,1800,1.93,By Unit/Package,jar 500g,5,No
SUP0037,P019,"Pickled gherkins, jar 500g",Pickles,Primary,S005,Doña Rosa Pickles,2050,2.19,By Unit/Package,jar 500g,5,Yes
SUP0038,P019,"Pickled gherkins, jar 500g",Pickles,Backup,S006,Conservas El Huerto,2300,2.46,By Unit/Package,jar 500g,3,No
SUP0039,P020,"Pickled jalapeños, jar 500g",Pickles,Primary,S005,Doña Rosa Pickles,2100,2.25,By Unit/Package,jar 500g,3,Yes
SUP0040,P020,"Pickled jalapeños, jar 500g",Pickles,Backup,S006,Conservas El Huerto,2150,2.3,By Unit/Package,jar 500g,5,No
SUP0041,P021,"Ground golden chili (aji de color), bag 100g",Chili,Primary,S007,Curico Chili & Sauces,1450,1.55,By Unit/Package,bag 100g,1,No
SUP0042,P021,"Ground golden chili (aji de color), bag 100g",Chili,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bag 100g,5,Yes
SUP0043,P022,"Bottled chili sauce, bottle 200ml",Chili,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bottle 200ml,3,No
SUP0044,P022,"Bottled chili sauce, bottle 200ml",Chili,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bottle 200ml,3,Yes
SUP0045,P023,"Chili paste, bag 250g",Chili,Primary,S007,Curico Chili & Sauces,1400,1.5,By Unit/Package,bag 250g,0,No
SUP0046,P023,"Chili paste, bag 250g",Chili,Backup,S008,Merken del Sur,1450,1.55,By Unit/Package,bag 250g,7,Yes
SUP0047,P024,"Chili paste, bottle 200ml",Chili,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bottle 200ml,0,No
SUP0048,P024,"Chili paste, bottle 200ml",Chili,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bottle 200ml,2,Yes
SUP0049,P025,"Sliced green chili, bag 200g",Chili,Primary,S007,Curico Chili & Sauces,1100,1.18,By Unit/Package,bag 200g,2,No
SUP0050,P025,"Sliced green chili, bag 200g",Chili,Backup,S008,Merken del Sur,1150,1.23,By Unit/Package,bag 200g,7,Yes
SUP0051,P026,"Dried cacho de cabra chili, bag 50g",Chili,Primary,S007,Curico Chili & Sauces,1100,1.18,By Unit/Package,bag 50g,2,No
SUP0052,P026,"Dried cacho de cabra chili, bag 50g",Chili,Backup,S008,Merken del Sur,1100,1.18,By Unit/Package,bag 50g,3,Yes
SUP0053,P027,"Ground panca chili, bag 100g",Chili,Primary,S007,Curico Chili & Sauces,1450,1.55,By Unit/Package,bag 100g,3,No
SUP0054,P027,"Ground panca chili, bag 100g",Chili,Backup,S008,Merken del Sur,1400,1.5,By Unit/Package,bag 100g,3,Yes
SUP0055,P028,"Merken (smoked chili), bag 100g",Chili,Primary,S007,Curico Chili & Sauces,1350,1.44,By Unit/Package,bag 100g,3,No
SUP0056,P028,"Merken (smoked chili), bag 100g",Chili,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bag 100g,7,Yes
SUP0057,P029,"Whole dried red chili, bag 100g",Chili,Primary,S007,Curico Chili & Sauces,1400,1.5,By Unit/Package,bag 100g,1,No
SUP0058,P029,"Whole dried red chili, bag 100g",Chili,Backup,S008,Merken del Sur,1500,1.6,By Unit/Package,bag 100g,7,Yes
SUP0059,P030,"All-purpose seasoning, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,0,Yes
SUP0060,P030,"All-purpose seasoning, bag 100g",Seasonings,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,2,Yes
SUP0061,P031,"Ground cumin, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,2,Yes
SUP0062,P031,"Ground cumin, bag 100g",Seasonings,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,2,Yes
SUP0063,P032,"Oregano, bag 50g",Seasonings,Primary,S009,Valley Spices SpA,700,0.75,By Unit/Package,bag 50g,2,Yes
SUP0064,P032,"Oregano, bag 50g",Seasonings,Backup,S010,Especias Andinas,700,0.75,By Unit/Package,bag 50g,3,Yes
SUP0065,P033,"Ground pepper, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1450,1.55,By Unit/Package,bag 100g,3,Yes
SUP0066,P033,"Ground pepper, bag 100g",Seasonings,Backup,S010,Especias Andinas,1350,1.44,By Unit/Package,bag 100g,7,Yes
SUP0067,P034,"Bay leaves, bag 50g",Seasonings,Primary,S009,Valley Spices SpA,650,0.7,By Unit/Package,bag 50g,2,Yes
SUP0068,P034,"Bay leaves, bag 50g",Seasonings,Backup,S010,Especias Andinas,650,0.7,By Unit/Package,bag 50g,3,Yes
SUP0069,P035,"Paprika, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,0,Yes
SUP0070,P035,"Paprika, bag 100g",Seasonings,Backup,S010,Especias Andinas,1000,1.07,By Unit/Package,bag 100g,5,Yes
SUP0071,P036,"Garlic powder, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes
SUP0072,P036,"Garlic powder, bag 100g",Seasonings,Backup,S010,Especias Andinas,1050,1.12,By Unit/Package,bag 100g,5,Yes
SUP0073,P037,"Curry powder, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1000,1.07,By Unit/Package,bag 100g,1,Yes
SUP0074,P037,"Curry powder, bag 100g",Seasonings,Backup,S010,Especias Andinas,1000,1.07,By Unit/Package,bag 100g,3,Yes
SUP0075,P038,"Ground cinnamon, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes
SUP0076,P038,"Ground cinnamon, bag 100g",Seasonings,Backup,S010,Especias Andinas,1100,1.18,By Unit/Package,bag 100g,7,Yes
SUP0077,P039,"Ground turmeric, bag 100g",Seasonings,Primary,S009,Valley Spices SpA,1050,1.12,By Unit/Package,bag 100g,1,Yes
SUP0078,P039,"Ground turmeric, bag 100g",Seasonings,Backup,S010,Especias Andinas,1100,1.18,By Unit/Package,bag 100g,3,Yes
SUP0079,P040,"Herbs de Provence mix, bag 50g",Seasonings,Primary,S009,Valley Spices SpA,1350,1.44,By Unit/Package,bag 50g,5,Yes
SUP0080,P040,"Herbs de Provence mix, bag 50g",Seasonings,Backup,S010,Especias Andinas,1450,1.55,By Unit/Package,bag 50g,5,Yes
SUP0081,P041,"Multiflora honey, bottle 500g",Honey,Primary,S011,Los Ulmos Apiary,3150,3.37,By Unit/Package,bottle 500g,0,No
SUP0082,P041,"Multiflora honey, bottle 500g",Honey,Backup,S012,Miel Nativa Ltda.,3350,3.58,By Unit/Package,bottle 500g,5,Yes
SUP0083,P042,"Ulmo honey, bottle 500g",Honey,Primary,S011,Los Ulmos Apiary,4000,4.28,By Unit/Package,bottle 500g,2,No
SUP0084,P042,"Ulmo honey, bottle 500g",Honey,Backup,S012,Miel Nativa Ltda.,4050,4.33,By Unit/Package,bottle 500g,2,Yes
SUP0085,P043,"Quillay honey, bottle 500g",Honey,Primary,S011,Los Ulmos Apiary,3450,3.69,By Unit/Package,bottle 500g,5,No
SUP0086,P043,"Quillay honey, bottle 500g",Honey,Backup,S012,Miel Nativa Ltda.,3750,4.01,By Unit/Package,bottle 500g,2,Yes
SUP0087,P044,"Organic wildflower honey, bottle 500g",Honey,Primary,S011,Los Ulmos Apiary,4100,4.39,By Unit/Package,bottle 500g,3,No
SUP0088,P044,"Organic wildflower honey, bottle 500g",Honey,Backup,S012,Miel Nativa Ltda.,4450,4.76,By Unit/Package,bottle 500g,3,Yes
SUP0089,P045,"Honeycomb, box 400g",Honey,Primary,S011,Los Ulmos Apiary,4700,5.03,By Unit/Package,box 400g,1,No
SUP0090,P045,"Honeycomb, box 400g",Honey,Backup,S012,Miel Nativa Ltda.,4700,5.03,By Unit/Package,box 400g,7,Yes
SUP0091,P046,Roasted salted peanuts,Peanuts,Primary,S013,Maipo Nuts Ltd.,4750,5.08,By Weight (kg),kg,1,Yes
SUP0092,P046,Roasted salted peanuts,Peanuts,Backup,S014,El Palomo Nuts,5100,5.45,By Weight (kg),kg,7,Yes
SUP0093,P047,Roasted unsalted peanuts,Peanuts,Primary,S013,Maipo Nuts Ltd.,4650,4.97,By Weight (kg),kg,1,Yes
SUP0094,P047,Roasted unsalted peanuts,Peanuts,Backup,S014,El Palomo Nuts,4700,5.03,By Weight (kg),kg,7,Yes
SUP0095,P048,Fried peanuts with salt,Peanuts,Primary,S013,Maipo Nuts Ltd.,5050,5.4,By Weight (kg),kg,1,Yes
SUP0096,P048,Fried peanuts with salt,Peanuts,Backup,S014,El Palomo Nuts,5300,5.67,By Weight (kg),kg,3,Yes
SUP0097,P049,Japanese peanuts,Peanuts,Primary,S013,Maipo Nuts Ltd.,7050,7.54,By Weight (kg),kg,1,Yes
SUP0098,P049,Japanese peanuts,Peanuts,Backup,S014,El Palomo Nuts,7400,7.91,By Weight (kg),kg,2,Yes
SUP0099,P050,Candied peanuts (natural),Peanuts,Primary,S013,Maipo Nuts Ltd.,6450,6.9,By Weight (kg),kg,1,Yes
SUP0100,P050,Candied peanuts (natural),Peanuts,Backup,S014,El Palomo Nuts,6650,7.11,By Weight (kg),kg,5,Yes
SUP0101,P051,Chocolate-coated peanuts,Peanuts,Primary,S013,Maipo Nuts Ltd.,7700,8.24,By Weight (kg),kg,0,Yes
SUP0102,P051,Chocolate-coated peanuts,Peanuts,Backup,S014,El Palomo Nuts,8200,8.77,By Weight (kg),kg,2,Yes
SUP0103,P052,Peanuts with merken,Peanuts,Primary,S013,Maipo Nuts Ltd.,5300,5.67,By Weight (kg),kg,2,Yes
SUP0104,P052,Peanuts with merken,Peanuts,Backup,S014,El Palomo Nuts,5500,5.88,By Weight (kg),kg,3,Yes
SUP0105,P053,Honey-glazed peanuts,Peanuts,Primary,S013,Maipo Nuts Ltd.,5900,6.31,By Weight (kg),kg,0,Yes
SUP0106,P053,Honey-glazed peanuts,Peanuts,Backup,S014,El Palomo Nuts,6750,7.22,By Weight (kg),kg,3,Yes
