category,Revenue_CLP,BatchCost_CLP,GrossProfit_CLP,WasteCost_CLP
Candy,15758630,11027900,4730730,163391.5
Chili,17309965,12342800,4967165,88374.5
Dried Fruit,29169700,21517300,7652400,315861.5
Grains,22779295,18631550,4147745,1710314.5
Honey,8856595,6326850,2529745,55284.5
Nuts,127910830,98469600,29441230,1919797.5
Olives,74726140,56500600,18225540,2984432.0
Packaging,13950000,9358950,4591050,0.0
Peanuts,54233565,40015350,14218215,1146028.0
Pickles,7479415,5325650,2153765,62423.5
Raisins,8632580,6389100,2243480,56679.5
Seasonings,10703465,7453600,3249865,31208.5
Seeds,5091555,3746200,1345355,77441.5
Trail Mix,16325210,12451300,3873910,380931.0
