month,Revenue_CLP,BatchCost_CLP,WasteCost_CLP
2023-07,18676810,13924400,323737.5
2023-08,18676050,13969250,315820.5
2023-09,21379395,15877350,280994.0
2023-10,15069635,11300150,379377.5
2023-11,14169465,10574550,388366.0
2023-12,17740410,13178450,324893.5
2024-01,14534750,11023400,519666.0
2024-02,13477965,10410650,649854.0
2024-03,14269530,10661200,357121.5
2024-04,18247800,13708350,328998.0
2024-05,19741770,14820100,361263.0
2024-06,18800345,14225800,402709.5
2024-07,18195375,13704850,406083.0
2024-08,18119340,13670850,414651.0
2024-09,21912480,16416700,318403.5
2024-10,14882985,10997350,257938.0
2024-11,14445110,10734650,292616.0
2024-12,19026275,14201350,400655.0
2025-01,15159010,11439600,463789.0
2025-02,14368450,10844200,432050.5
2025-03,15495240,11691500,461445.0
2025-04,18122055,13525350,313123.5
2025-05,19413955,14502000,319465.5
2025-06,19002745,14154700,279147.0
